,tweet_text,sentiment,tweet_text_tokens
0,:Hello Japan is a nuclear power plant crisis. {link},0,"['Hello', 'Japan', 'nuclear', 'power', 'plant', 'crisis']"
1,. Renewable Energy Consumption Tops Nuclear for FirstTime {link} is nuclear energy renewable,2,"['Renewable', 'Energy', 'Consumption', 'Tops', 'Nuclear', 'FirstTime', 'nuclear', 'energy', 'renewable']"
2,. Will liberals now seek to eliminate dangerous nuclear power plants? {link} green energy news,2,"['liberals', 'seek', 'eliminate', 'dangerous', 'nuclear', 'power', 'plants', 'green', 'energy', 'news']"
3,"(Aug 22,2011)Plant Status of Fukushima Daiichi Nuclear Power Station (as of 3:00 pm, Aug. 22) {link} #tepco #japan",2,"['Aug', 'Plant', 'Status', 'Fukushima', 'Daiichi', 'Nuclear', 'Power', 'Station', 'pm', 'Aug', 'tepco', 'japan']"
4,[ebook] Nuclear Energy and the Environment: Oxf ord Un iversity Pr ess | 2011 | ISBN: 0841225850 | 432 pages | P... {link},2,"['Nuclear', 'Energy', 'Environment', 'Oxf', 'ord', 'Un', 'iversity', 'Pr', 'ess', 'ISBN', 'pages', 'P']"
5,"[GJOBS] Nuclear Power Safety Campaign Organizer - Temporary / Union of Concerned Scientists / Cambridge, MA {link}",2,"['Nuclear', 'Power', 'Safety', 'Campaign', 'Organizer', 'Temporary', 'Union', 'Concerned', 'Scientists', 'Cambridge']"
6,[news] Nuclear Power Plant: Radioactive Tritium Contamination in Vermont {link} #nwo,2,"['Nuclear', 'Power', 'Plant', 'Radioactive', 'Tritium', 'Contamination', 'Vermont', 'nwo']"
7,[science] Nuclear Energy and the Environment: Oxf ord Un iversity Pr ess | 2011 | ISBN: 0841225850 | 432 pages |... {link},2,"['Nuclear', 'Energy', 'Environment', 'Oxf', 'ord', 'Un', 'iversity', 'Pr', 'ess', 'ISBN', 'pages']"
8,{link} :P How many windmills would you need to produce as much power as one average nuclear power station? windmills,2,"['P', 'many', 'windmills', 'would', 'need', 'produce', 'much', 'power', 'one', 'average', 'nuclear', 'power', 'station', 'windmills']"
9,"{link} &quot;The right thing to do&quot; I'm for nuclear energy, when done correctly. But this plant was built to a 1970's standard.",1,"['Im', 'nuclear', 'energy', 'done', 'correctly', 'plant', 'built', 'standard']"
