,tweet_text,sentiment
0,"['hello', 'japan', 'nuclear', 'power', 'plant', 'crisis']",0
1,"['renewable', 'energy', 'consumption', 'tops', 'nuclear', 'firsttime', 'nuclear', 'energy', 'renewable']",2
2,"['liberals', 'seek', 'eliminate', 'dangerous', 'nuclear', 'power', 'plants', 'green', 'energy', 'news']",2
3,"['aug', 'plant', 'status', 'fukushima', 'daiichi', 'nuclear', 'power', 'station', 'pm', 'aug', 'tepco', 'japan']",2
4,"['nuclear', 'energy', 'environment', 'oxf', 'ord', 'un', 'iversity', 'pr', 'ess', 'isbn', 'pages', 'p']",2
5,"['nuclear', 'power', 'safety', 'campaign', 'organizer', 'temporary', 'union', 'concerned', 'scientists', 'cambridge']",2
6,"['nuclear', 'power', 'plant', 'radioactive', 'tritium', 'contamination', 'vermont', 'nwo']",2
7,"['nuclear', 'energy', 'environment', 'oxf', 'ord', 'un', 'iversity', 'pr', 'ess', 'isbn', 'pages']",2
8,"['p', 'many', 'windmills', 'would', 'need', 'produce', 'much', 'power', 'one', 'average', 'nuclear', 'power', 'station', 'windmills']",2
9,"['im', 'nuclear', 'energy', 'done', 'correctly', 'plant', 'built', 'standard']",1
10,"['min', 'video', 'masao', 'yoshida', 'fukushima', 'diichi', 'nuclear', 'station', 'thanks', 'aid', 'reports', 'current', 'progress']",2
11,"['percent', 'favor', 'gradual', 'reduction', 'nuclear', 'power', 'plants', 'mainichi', 'poll', 'mainichi', 'daily', 'news']",2
12,"['coal', 'seen', 'possible', 'alternative', 'nuclear', 'power', 'egat']",2
13,"['experts', 'sure', 'economic', 'side', 'project', 'lithuanian', 'nuclear', 'power', 'plant']",2
14,"['five', 'star•¨', 'enters', 'nuclear', 'power', 'supply', 'market']",2
15,"['five', 'star•¨', 'enters', 'nuclear', 'power', 'supply', 'market', 'pr', 'newswire', 'press', 'release']",2
16,"['health', 'newspaper', 'articles', 'complete', 'rejection', 'peaceful', 'nuclear', 'energy', 'require', 'multimillion', 'dollar', 'inves']",2
17,"['india', 'accord', 'highest', 'safety', 'standards', 'civil', 'nuclear', 'energy', 'pm', 'economic', 'times']",2
18,"['nuclear', 'power', 'via', 'arnie', 'gundersen', 'w', 'resume', 'sccouncil', 'nirs']",2
19,"['pm', 'bats', 'nuclear', 'energy', 'times', 'india']",2
20,"['saudi', 'arabias', 'nuclear', 'energy', 'ambitions', 'energy', 'collective']",2
21,[],2
22,"['whats', 'happening', 'fukushima', 'nuclear', 'power', 'plant']",2
23,"['would', 'rather', 'dozen', 'wind', 'turbines', 'nuclear', 'power', 'plant', 'near', 'home', 'turbines', 'power']",0
24,"['ynnmarist', 'poll', 'new', 'yorkers', 'feel', 'nuclear', 'power', 'hydrofracking']",2
25,"['ever', 'hears', 'talk', 'place', 'north', 'mi', 'around', 'nuclear', 'power', 'plant', 'bow', 'hunting']",2
26,"['north', 'west', 'missouri', 'wma', 'around', 'nuclear', 'power', 'plant', 'ac', 'buddy', 'looking', 'go', 'bow']",2
27,"['lol', 'best', 'bumper', 'sticker', 'ever', 'saw', 'guess', 'one', 'dates']",2
28,"['newamericacom', 'investment', 'website', 'talking', 'nuclear', 'energy', 'dangers']",2
